date,fertilizer,price,unit,country,source
2007-01-01,NPK Blue (local),65,RM/50kg bag,Malaysia,MPOB
2007-01-01,NPK Green (local),66,RM/50kg bag,Malaysia,MPOB
2007-01-01,NPK Blue (imported),72,RM/50kg bag,Malaysia,MPOB
2007-01-01,NPK Green (imported),70,RM/50kg bag,Malaysia,MPOB
2007-01-01,Urea,65,RM/50kg bag,Malaysia,MPOB
2007-01-01,Christmas Island rock phosphate,35,RM/50kg bag,Malaysia,MPOB
2007-01-01,MOP,50,RM/50kg bag,Malaysia,MPOB
2008-01-01,NPK Blue (local),132,RM/50kg bag,Malaysia,MPOB
2008-01-01,NPK Green (local),140,RM/50kg bag,Malaysia,MPOB
2008-01-01,NPK Blue (imported),180,RM/50kg bag,Malaysia,MPOB
2008-01-01,NPK Green (imported),175,RM/50kg bag,Malaysia,MPOB
2008-01-01,Urea,148,RM/50kg bag,Malaysia,MPOB
2008-01-01,Christmas Island rock phosphate,74,RM/50kg bag,Malaysia,MPOB
2008-01-01,MOP,150,RM/50kg bag,Malaysia,MPOB
2009-01-08,NPK Blue (local),137,RM/50kg bag,Malaysia,MPOB
2009-01-08,NPK Green (local),136,RM/50kg bag,Malaysia,MPOB
2009-01-08,NPK Blue (imported),159,RM/50kg bag,Malaysia,MPOB
2009-01-08,NPK Green (imported),157,RM/50kg bag,Malaysia,MPOB
2009-01-08,Urea,102,RM/50kg bag,Malaysia,MPOB
2009-01-08,Christmas Island rock phosphate,81,RM/50kg bag,Malaysia,MPOB
2009-01-08,MOP,171,RM/50kg bag,Malaysia,MPOB
2009-01-15,NPK Blue (local),129,RM/50kg bag,Malaysia,MPOB
2009-01-15,NPK Green (local),129,RM/50kg bag,Malaysia,MPOB
2009-01-15,NPK Blue (imported),159,RM/50kg bag,Malaysia,MPOB
2009-01-15,NPK Green (imported),156,RM/50kg bag,Malaysia,MPOB
2009-01-15,Urea,98,RM/50kg bag,Malaysia,MPOB
2009-01-15,Christmas Island rock phosphate,64,RM/50kg bag,Malaysia,MPOB
2009-01-15,MOP,149,RM/50kg bag,Malaysia,MPOB
2009-03-15,NPK Blue (imported),153,RM/50kg bag,Malaysia,MPOB
2009-03-15,NPK Green (imported),151,RM/50kg bag,Malaysia,MPOB
2009-03-15,Urea,95,RM/50kg bag,Malaysia,MPOB
2009-03-15,Christmas Island rock phosphate,75,RM/50kg bag,Malaysia,MPOB
2009-03-15,MOP,130,RM/50kg bag,Malaysia,MPOB
